quote_id	original_minute	adjudication_action	corrected_minutes	corrected_highlight	evidence_code	evidence_text	reviewed_by
2281	702	KEEP_AS_IS			DIARY_TIMESTAMP	The displayed passage begins with a diary-style timestamp followed by first-person prose.	semantic-adjudication-v2
2281	1422	KEEP_AS_IS			DIARY_TIMESTAMP	The exact 12-hour diary timestamp has no deterministic daypart and legitimately retains both clockface sides.	semantic-adjudication-v2
3236	277	REPAIR_MINUTE	997		DISPLAYED_DAYPART	The same sentence says that both recorded birth times occurred "that afternoon".	semantic-adjudication-v2
4004	1236	KEEP_AS_IS			NARRATIVE_24H_TIMESTAMP	The passage starts with an in-range 24-hour timestamp immediately followed by narrative action.	semantic-adjudication-v2
6312	421	REPAIR_MINUTE_AND_HIGHLIGHT	1170	7 1/2 o'clock	SOURCE_BACKED_HIGHLIGHT	The source sentence explicitly invites guests to dinner at "7 1/2 o'clock"; the legacy span stopped after "7 1".	semantic-adjudication-v2
6757	404	KEEP_AS_IS			SOURCE_CONTEXT_DAYPART	The pinned preceding source paragraph lists the explosions as occurring "in the morning", including 6:44.	semantic-adjudication-v2
6757	1124	QUARANTINE			SOURCE_CONTEXT_DAYPART	The pinned preceding source paragraph resolves 6:44 to morning, so the PM clockface side conflicts with source context.	semantic-adjudication-v2
203	57	KEEP_AS_IS			NARRATIVE_TIMESTAMP	The leaf advances after an elapsed minute and prints 12:57 before the character performs arithmetic on that time.	semantic-adjudication-v2
474	153	KEEP_AS_IS			NARRATIVE_CLOCK_CONTEXT	The exact spoken form occurs in a hotel-night context concerned with a room call and night bell.	semantic-adjudication-v2
665	217	REPAIR_HIGHLIGHT	217	three thirty-seven A.M.	SOURCE_BACKED_HIGHLIGHT	The sentence says "It was three thirty-seven A.M."; the legacy highlight omitted the hour.	semantic-adjudication-v2
782	983	REPAIR_MINUTE	263		DISPLAYED_DAYPART	The quote explicitly places 4:23 on Monday morning.	semantic-adjudication-v2
931	324	KEEP_AS_IS			DUPLICATE_SOURCE_EVIDENCE	The fuller duplicate quote 932 explicitly identifies a digital clock advancing from 5:23 to 5:24.	semantic-adjudication-v2
1163	1132	REPAIR_MINUTE	412		DISPLAYED_DAYPART	The same sentence says the 6:52 train was caught the following morning.	semantic-adjudication-v2
1292	450	REPAIR_MINUTE_AND_HIGHLIGHT	450,1170	half-past seven	SOURCE_BACKED_HIGHLIGHT	The legacy span highlighted only "seven" although the sentence itself says "half-past seven".	semantic-adjudication-v2
1922	600	REPAIR_MINUTE	630,1350		DIALOGUE_TIME_CORRECTION	The appointment dialogue corrects "Ten" to the exact spoken time "Ten-thirty".	semantic-adjudication-v2
1940	603	KEEP_AS_IS			EXPLICIT_CLOCK_GRAMMAR	The complete highlighted phrase explicitly states three minutes past ten.	semantic-adjudication-v2
